#GS,,,,,,
#A(piezo1),A(piezo3),Lb(noPlate_mm),Lb(mm),Lb/Rb,A(reel_V),Lb(m)
40,46,9.83,10.58,326.5432098765,2.3,0.01058
60,73.12,8.7,9.45,291.6666666667,3.656,0.00945
80,99.7,7.95,8.7,268.5185185185,4.985,0.0087
100,124,7.45,8.2,253.0864197531,6.2,0.0082
120,154,7,7.75,239.1975308642,7.7,0.00775
140,182,6.66,7.41,228.7037037037,9.1,0.00741
160,209,6.21,6.96,214.8148148148,10.45,0.00696
180,235,5.92,6.67,205.8641975309,11.75,0.00667
200,264,5.62,6.37,196.6049382716,13.2,0.00637
250,330,5,5.75,177.4691358025,16.5,0.00575
300,397,4.44,5.19,160.1851851852,19.85,0.00519
350,467,3.89,4.64,143.2098765432,23.35,0.00464
400,545,3.37,4.12,127.1604938272,27.25,0.00412
450,655,2.79,3.54,109.2592592593,32.75,0.00354
500,695,2.53,3.28,101.2345679012,34.75,0.00328
550,795,2.13,2.88,88.8888888889,39.75,0.00288
600,820,2.05,2.8,86.4197530864,41,0.0028
650,865,1.91,2.66,82.0987654321,43.25,0.00266
700,920,1.78,2.53,78.0864197531,46,0.00253
750,985,1.67,2.42,74.6913580247,49.25,0.00242
800,1040,1.59,2.34,72.2222222222,52,0.00234
850,1090,1.54,2.29,70.6790123457,54.5,0.00229
900,1140,1.51,2.26,69.7530864198,57,0.00226
950,1190,1.49,2.24,69.1358024691,59.5,0.00224
1000,1240,1.49,2.24,69.1358024691,62,0.00224
